#deg / Ox Oy / Ax Ay / Bx By / Cx Cy / Dx Dy / Ex Ey / Fx Fy / Gx Gy / straight or curve
# DEG_DIV=5
7.0 0 0 14.888 1.828 -38.0 -7.8 -25.22 31.683 -75.267 7.006 -25.518 -45.065 -58.292 -28.55 -40.372 -91.759 s
7.2 0 0 14.882 1.88 -38.0 -7.8 -25.256 31.695 -75.28 6.971 -25.479 -45.052 -58.268 -28.567 -40.292 -91.759 s
7.4 0 0 14.875 1.932 -38.0 -7.8 -25.293 31.707 -75.294 6.937 -25.44 -45.039 -58.244 -28.583 -40.211 -91.76 s
7.6 0 0 14.868 1.984 -38.0 -7.8 -25.329 31.718 -75.307 6.902 -25.402 -45.026 -58.221 -28.6 -40.13 -91.76 s
7.8 0 0 14.861 2.036 -38.0 -7.8 -25.366 31.73 -75.321 6.868 -25.363 -45.013 -58.197 -28.616 -40.05 -91.76 s
8.0 0 0 14.854 2.088 -38.0 -7.8 -25.403 31.742 -75.335 6.833 -25.325 -45.0 -58.174 -28.633 -39.969 -91.761 s
8.2 0 0 14.847 2.139 -38.0 -7.8 -25.44 31.754 -75.348 6.798 -25.287 -44.987 -58.15 -28.65 -39.888 -91.761 s
8.4 0 0 14.839 2.191 -38.0 -7.8 -25.477 31.765 -75.362 6.763 -25.249 -44.974 -58.127 -28.667 -39.807 -91.761 s
8.6 0 0 14.831 2.243 -38.0 -7.8 -25.514 31.777 -75.376 6.728 -25.211 -44.961 -58.104 -28.684 -39.726 -91.762 s
8.8 0 0 14.823 2.295 -38.0 -7.8 -25.551 31.789 -75.389 6.693 -25.173 -44.948 -58.082 -28.702 -39.645 -91.762 s
9.0 0 0 14.815 2.347 -38.0 -7.8 -25.588 31.801 -75.403 6.658 -25.136 -44.935 -58.059 -28.719 -39.564 -91.762 s
9.2 0 0 14.807 2.398 -38.0 -7.8 -25.626 31.812 -75.417 6.623 -25.098 -44.922 -58.037 -28.737 -39.483 -91.763 s
9.4 0 0 14.799 2.45 -38.0 -7.8 -25.663 31.824 -75.43 6.587 -25.061 -44.909 -58.014 -28.755 -39.402 -91.763 s
9.6 0 0 14.79 2.502 -38.0 -7.8 -25.701 31.836 -75.444 6.552 -25.023 -44.896 -57.992 -28.773 -39.321 -91.764 s
9.8 0 0 14.781 2.553 -38.0 -7.8 -25.739 31.847 -75.457 6.516 -24.986 -44.883 -57.97 -28.791 -39.239 -91.764 s
10.0 0 0 14.772 2.605 -38.0 -7.8 -25.776 31.859 -75.471 6.48 -24.949 -44.87 -57.948 -28.809 -39.158 -91.764 s
10.2 0 0 14.763 2.656 -38.0 -7.8 -25.814 31.871 -75.485 6.444 -24.912 -44.857 -57.926 -28.827 -39.077 -91.765 s
